hexCode,icao,callsign,callsignAbbr,tailNumber,operator,lastAirport,lastDistance,lastLat,lastLon,base,companyCode,lastSeenDate,source,notes,lastAirports
AE10C1,GLF5,C101,C101,C101,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Coast Guard 01 - RDB/FA Blocked,
AE109A,GLF5,C102,C102,C102,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Coast Guard 02 - RDB/FA Blocked,
ADFE0D,C130,C1701,C1701,C1701,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"Last seen 2019, Likely Retired",
ADFE0E,C130,C1702,C1702,C1702,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Last seen 2020,
ADFE0F,C130,C1703,C1703,C1703,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Scrapped,
ADFE10,C130,C1704,C1704,C1704,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
ADFE13,C130,C1707,C1707,C1707,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Last seen 2019,
ADFE15,C130,C1709,C1709,C1709,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Calfire,
ADFE17,C130,C1711,C1711,C1711,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Unknown/Scrapped,
ADFE18,C130,C1712,C1712,C1712,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
ADFE19,C130,C1713,C1713,C1713,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Calfire,
ADFE1A,C130,C1714,C1714,C1714,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Calfire,
ADFE1B,C130,C1715,C1715,C1715,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Possibly Ret - last seen Jan @ EC,
ADFE1C,C130,C1716,C1716,C1716,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
ADFE1E,C130,C1718,C1718,C1718,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Last seen 2020,
ADFE20,C130,C1720,C1720,C1720,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Last seen 2022,
AE10E7,C30J,C2001,C2001,C2001,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE10E8,C30J,C2002,C2002,C2002,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"Repo California to EC, likely MX at EC",
AE10E9,C30J,C2003,C2003,C2003,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Flying in AK,
AE10EA,C30J,C2004,C2004,C2004,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"Repo Texas to EC, likely MX at EC",
AE10EB,C30J,C2005,C2005,C2005,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Flying in AK,
AE10EC,C30J,C2006,C2006,C2006,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"Flying in AK, Sac in 2020",
AE57D1,C30J,C2007,C2007,C2007,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"H Model Replacement, EC in 2020",
AE57D2,C30J,C2008,C2008,C2008,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,,
AE57D3,C30J,C2009,C2009,C2009,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"H Model Replacement, Sac in 2023",
AE57D4,C30J,C2010,C2010,C2010,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Lots of Cross Country flying,
AE57D5,C30J,C2011,C2011,C2011,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Operational SAR at EC,
AE5DEB,C30J,C2012,C2012,C2012,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"H Model Replacement, SAR in Guam",
AE5DEC,C30J,C2013,C2013,C2013,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Lots of Cross Country flying,
AE5DED,C30J,C2014,C2014,C2014,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"Flying in AK, limited ADSB Pings",
AE5DEE,C30J,C2015,C2015,C2015,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Operational SAR at EC,
AE5DEF,C30J,C2016,C2016,C2016,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,Operational SAR at EC,
AE5DF0,C30J,C2017,C2017,C2017,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"Operational as of Jan '25, Lots of x Country",
AE2237,CN35,C2301,C2301,C2301,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE2238,CN35,C2302,C2302,C2302,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE223A,CN35,C2303,C2303,C2303,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE223B,CN35,C2304,C2304,C2304,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE223C,CN35,C2305,C2305,C2305,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"CG - HC-144B Ref, Test Flights at EC",
AE223D,CN35,C2306,C2306,C2306,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE223E,CN35,C2307,C2307,C2307,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE223F,CN35,C2308,C2308,C2308,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE2707,CN35,C2309,C2309,C2309,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE2708,CN35,C2310,C2310,C2310,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE2709,CN35,C2311,C2311,C2311,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,CG - HC-144B Ref,
AE270A,CN35,C2312,C2312,C2312,US Coast Guard,ZZZZ,0,0.0,0.0,ZZZZ,0,,,"CG - HC-144B Ref, Cape Cod 2020",
