id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
6523,00A,heliport,Total RF Heliport,40.070985,-74.933689,11.0,,US,US-PA,Bensalem,no,,,K00A,00A,https://www.penndot.pa.gov/TravelInPA/airports-pa/Pages/Total-RF-Heliport.aspx,,
323361,00AA,small_airport,Aero B Ranch Airport,38.704022,-101.473911,3435.0,,US,US-KS,Leoti,no,,,00AA,00AA,,,
6524,00AK,small_airport,Lowell Field,59.947733,-151.692524,450.0,,US,US-AK,Anchor Point,no,,,00AK,00AK,,,
6525,00AL,small_airport,Epps Airpark,34.86479949951172,-86.77030181884766,820.0,,US,US-AL,Harvest,no,,,00AL,00AL,,,
506791,00AN,small_airport,Katmai Lodge Airport,59.093287,-156.456699,80.0,,US,US-AK,King Salmon,no,,,00AN,00AN,,,
322127,00AS,small_airport,Fulton Airport,34.9428028,-97.8180194,1100.0,,US,US-OK,Alex,no,,,00AS,00AS,,,
6527,00AZ,small_airport,Cordes Airport,34.305599212646484,-112.16500091552734,3810.0,,US,US-AZ,Cordes,no,,,00AZ,00AZ,,,
6528,00CA,small_airport,Goldstone (GTS) Airport,35.35474,-116.885329,3038.0,,US,US-CA,Barstow,no,,,00CA,00CA,,https://en.wikipedia.org/wiki/Goldstone_Gts_Airport,
324424,00CL,small_airport,Williams Ag Airport,39.427188,-121.763427,87.0,,US,US-CA,Biggs,no,,,00CL,00CL,,,
322658,00CN,heliport,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,3350.0,,US,US-CA,Pine Valley,no,,,00CN,00CN,,,
6531,00FA,small_airport,Grass Patch Airport,28.64550018310547,-82.21900177001953,53.0,,US,US-FL,Bushnell,no,,,00FA,00FA,,,
6533,00FL,small_airport,River Oak Airport,27.230899810791016,-80.96920013427734,35.0,,US,US-FL,Okeechobee,no,,,00FL,00FL,,,
6534,00GA,small_airport,Lt World Airport,33.76750183105469,-84.06829833984375,700.0,,US,US-GA,Lithonia,no,,,00GA,00GA,,,
6535,00GE,heliport,Caffrey Heliport,33.887982,-84.736983,957.0,,US,US-GA,Hiram,no,,,00GE,00GE,,,
6536,00HI,heliport,Kaupulehu Heliport,19.832881,-155.978347,43.0,OC,US,US-HI,Kailua-Kona,no,,,00HI,00HI,,,
6537,00ID,small_airport,Delta Shores Airport,48.145301818847656,-116.21399688720705,2064.0,,US,US-ID,Clark Fork,no,,,00ID,00ID,,,
322581,00IG,small_airport,Goltl Airport,39.724028,-101.395994,3359.0,,US,US-KS,McDonald,no,,,00IG,00IG,,,
6539,00IL,small_airport,Hammer Airport,41.978401,-89.560402,840.0,,US,US-IL,Polo,no,,,00IL,00IL,,,Radio Ranch
6540,00IN,heliport,St Mary Medical Center Heliport,41.51139831542969,-87.2605972290039,634.0,,US,US-IN,Hobart,no,,,00IN,00IN,,,
6541,00IS,small_airport,Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,820.0,,US,US-IL,Kings,no,,,00IS,00IS,,,
6542,00KS,small_airport,Hayden Farm Airport,38.72779846191406,-94.93049621582033,1100.0,,US,US-KS,Gardner,no,,,00KS,00KS,,,
6543,00KY,small_airport,Robbins Roost Airport,37.409400939941406,-84.61969757080078,1265.0,,US,US-KY,Stanford,no,,,00KY,00KY,,,
45437,00LA,heliport,Shell Chemical East Site Heliport,30.191944,-90.980833,15.0,,US,US-LA,Gonzales,no,,,00LA,00LA,,,
6544,00LL,heliport,Ac & R Components Heliport,39.66529846191406,-89.70559692382812,600.0,,US,US-IL,Chatham,no,,,00LL,00LL,,,
6545,00LS,small_airport,Lejeune Airport,30.136299,-92.429398,12.0,,US,US-LA,Crowley,no,,,00LS,00LS,,,
6546,00MD,small_airport,Slater Field,38.75709915161133,-75.75379943847656,45.0,,US,US-MD,Federalsburg,no,,,00MD,00MD,,,
